timestamp,location,congestion_level,prediction,probability,is_congested
2025-04-01 01:00:00,Ankara - Cankaya,5,1.0,"[0.4360257099749745,0.5639742900250255]",1
2025-04-01 04:00:00,Ankara - Cankaya,4,0.0,"[0.5410860965464904,0.4589139034535096]",1
2025-04-01 21:00:00,Ankara - Cankaya,4,1.0,"[0.43798612485332,0.5620138751466799]",1
2025-04-02 00:00:00,Ankara - Cankaya,0,0.0,"[0.6241129684022311,0.3758870315977689]",0
2025-04-02 01:00:00,Ankara - Cankaya,4,1.0,"[0.4360257099749745,0.5639742900250255]",1
2025-04-02 02:00:00,Ankara - Cankaya,5,1.0,"[0.4934173869493961,0.5065826130506039]",1
2025-04-02 03:00:00,Ankara - Cankaya,4,0.0,"[0.5025947769909709,0.4974052230090292]",1
2025-04-02 12:00:00,Ankara - Cankaya,3,1.0,"[0.0,1.0]",1
2025-04-02 21:00:00,Ankara - Cankaya,2,1.0,"[0.43798612485332,0.5620138751466799]",0
2025-04-02 23:00:00,Ankara - Cankaya,5,0.0,"[0.6648579704533587,0.33514202954664135]",1
2025-04-03 04:00:00,Ankara - Cankaya,2,0.0,"[0.5410860965464904,0.4589139034535096]",0
2025-04-03 08:00:00,Ankara - Cankaya,9,1.0,"[0.0,1.0]",1
2025-04-03 09:00:00,Ankara - Cankaya,7,1.0,"[0.0,1.0]",1
2025-04-03 10:00:00,Ankara - Cankaya,7,1.0,"[0.0,1.0]",1
2025-04-03 15:00:00,Ankara - Cankaya,3,1.0,"[0.0,1.0]",1
2025-04-03 18:00:00,Ankara - Cankaya,6,1.0,"[0.0,1.0]",1
2025-04-03 23:00:00,Ankara - Cankaya,0,0.0,"[0.6648579704533587,0.33514202954664135]",0
2025-03-05 00:00:00,Ankara - Cankaya,1,0.0,"[0.6241129684022311,0.3758870315977689]",0
2025-03-05 04:00:00,Ankara - Cankaya,1,0.0,"[0.5410860965464904,0.4589139034535096]",0
2025-03-05 12:00:00,Ankara - Cankaya,7,1.0,"[0.0,1.0]",1
